TLA NAME,CRASH ROAD,CRASH DIST,CRASH DIRN,INTSN,SIDE ROAD,CRASH ID,CRASH DATE,CRASH DOW,CRASH TIME,MVMT,VEHICLES,CAUSES,OBJECTS STRUCK,ROAD CURVE,ROAD WET,LIGHT,WTHRa,JUNC TYPE,TRAF CTRL,ROAD MARK,SPD LIM,CRASH FATAL CNT,CRASH SEV CNT,CRASH MIN CNT,PERS AGE1,PERS AGE2,EASTING,NORTHING,latitude,longitude
Wellington City,ARO ST,50,E, ,DEVON ST,2011025,6/02/00,Sun,500,EC,CE1X,103A 129A ,I,R,D,DO,F , ,N,R,50,0,0,2,,,1747959,5426948,-41.29536238,174.767166
Wellington City,ARO ST,10,W, ,EPUNI ST,2052193,1/04/00,Sat,1745,MA,CE1CC,373B ,M,R,D,DO,F ,T,N,C,50,0,0,0,,,1747867,5426957,-41.29529821,174.7660655
Wellington City,ATUA ST,15,N, ,BANNISTER AVENUE,2011826,26/04/00,Wed,830,NA,CE1E,378A 713B 834 ,,R,D,O ,F , ,N,C,50,0,0,1,10,,1750750,5434388,-41.22786079,174.7986456
Wellington City,AWA ROAD,250,E, ,NEVAY ROAD,2054281,1/09/00,Fri,1255,BB,TS1C,123A 380B ,,S,D,B ,F , ,N,C,50,0,0,0,,,1753096,5425061,-41.31139331,174.8289657
Wellington City,AWARUA ST,, ,I,ROTHSAY ROAD,2052238,4/06/00,Sun,1620,JA,CW1V,110A 303B 831 ,T,M,W,O ,L ,T,N,C,50,0,0,0,,,1748451,5432631,-41.24410516,174.7716554
Wellington City,BALLANCE ST,30,E, ,LAMBTON QUAY,2052013,4/05/00,Thu,930,MO,CE1X,427A 445A ,,R,D,B ,F , ,N,C,50,0,0,0,,,1748770,5428618,-41.28017754,174.7764398
Wellington City,BANNISTER AVENUE,, ,I,HAUMIA ST,2012416,14/09/00,Thu,1900,HA,CN1C,302A ,,R,D,DO,F ,X,G,C,50,0,0,2,,,1750760,5434378,-41.22794896,174.7987673
Wellington City,BARNARD ST,300,E, ,ANNE ST,2052270,24/04/00,Mon,200,EA,CW1C,331A ,M,M,D,DN,F , ,N,N,50,0,0,0,,,1749613,5430810,-41.26028628,174.7859632
Wellington City,BARNARD ST,40,E, ,LOWER WATT ST,2052965,26/06/00,Mon,1440,DA,CE1,131A ,C,M,W,O ,M , ,N,C,50,0,0,0,,,1749140,5430232,-41.26557772,174.7804609
Wellington City,BAY ROAD,20,N, ,COUTTS ST,2052963,27/06/00,Tue,1850,MA,VN1C,373B ,,R,D,DO,F , ,N,P,50,0,0,0,,,1750183,5424194,-41.31974679,174.7943961
