TLA NAME,CRASH ROAD,CRASH DIST,CRASH DIRN,INTSN,SIDE ROAD,CRASH ID,CRASH DATE,CRASH DOW,CRASH TIME,MVMT,VEHICLES,CAUSES,OBJECTS STRUCK,ROAD CURVE,ROAD WET,LIGHT,WTHRa,JUNC TYPE,TRAF CTRL,ROAD MARK,SPD LIM,CRASH FATAL CNT,CRASH SEV CNT,CRASH MIN CNT,PERS AGE1,PERS AGE2,EASTING,NORTHING,latitude,longitude
Wellington City,CABLE ST,15,E, ,CHAFFERS ST,201532035,7/02/15,Sat,750,CA,CE1C,103A 130A ,M,R,D,B ,F , , ,C,50,0,0,0,,,1749367,5427301,-41.29192484,174.7838882
Wellington City,GARRETT ST,50,W, ,CUBA ST,201531838,7/02/15,Sat,629,MO,CW1C,512A 514A ,,R,D,DO,F , , ,N,50,0,0,0,,,1748608,5427127,-41.29363153,174.7748702
Wellington City,1N/1075/0.3,, ,I,WILLIS ST,201530749,7/02/15,Sat,1814,FE,CS1C,181A 350A ,,E,D,B ,F ,X,T,R,50,0,0,0,,,1748371,5427107,-41.29385519,174.7720458
Wellington City,MAIN ROAD,210,N, ,REDWOOD AVENUE S,201532038,8/02/15,Sun,1341,DA,CN1,131A 358A ,C,M,D,B ,F , , ,P,50,0,0,0,,,1753005,5439571,-41.18077315,174.8242409
Wellington City,1N/1068/5.656,50,N, ,NORTH PORTAL SBD,201510711,8/02/15,Sun,1006,FD,CS1CCV,112A 331A ,,R,D,B ,F , , ,R,60,0,0,1,,,1748383,5427898,-41.28673125,174.7719962
Wellington City,BOULCOTT ST,, ,I,WILLIS ST,201532036,9/02/15,Mon,803,GF,TS1C,172A ,,S,D,B ,F ,X,T,C,50,0,0,0,,,1748603,5427623,-41.28916673,174.7746894
Wellington City,RIDDIFORD ST,15,S, ,RINTOUL ST,201532016,9/02/15,Mon,845,AC,CN1T,372A ,,R,D,B ,F , , ,C,50,0,0,0,,,1748931,5425108,-41.31174988,174.7792202
Wellington City,HUTT ROAD,350,N, ,SAR ST,201510709,10/02/15,Tue,1719,LB,SN1V,314B 377B 927 ,,R,D,B ,F ,D, ,P,50,0,0,1,,35,1749497,5430368,-41.26428727,174.7846875
Wellington City,HANSON ST,100,N, ,HALL ST,201539770,11/02/15,Wed,700,EA,CN14,129A 386A ,M,R,D,DO,F , ,N,C,50,0,0,0,,,1748672,5425367,-41.30946578,174.7760642
Wellington City,HANSON ST,100,N, ,HALL ST,201530770,11/02/15,Wed,700,EA,CN14,129A 386A ,M,R,D,B ,F , ,N,C,50,0,0,0,,,1748672,5425367,-41.30946578,174.7760642
Wellington City,1N/1076/2.059,15,W, ,HAMILTON ROAD,201532015,11/02/15,Wed,540,AC,4E1C,372A ,,R,D,TO,F , , ,C,50,0,0,0,,,1750108,5425050,-41.31205391,174.7932891
Wellington City,1N/1068/3.323,300,N, ,MURPHY OFF SBD,201530778,12/02/15,Thu,1146,QD,TS1C,682A ,,R,D,B ,F , ,N,C,100,0,0,0,,,1749285,5429903,-41.26851308,174.7822717
Wellington City,1N/1068/3.676,30,S, ,HOBSON ST OBR NBD,201530238,12/02/15,Thu,1540,AC,4N1C,330A 372A ,,E,D,O ,F , , ,C,100,0,0,0,,,1749040,5429655,-41.27079117,174.7794087
Wellington City,2/962/15.167,1800,N, ,SH 1N,201530746,12/02/15,Thu,1645,FD,VS1CCC,110A 181A ,,R,D,B ,F , ,N,R,100,0,0,0,,,1753190,5433123,-41.2387916,174.8280613
Wellington City,TINAKORI ROAD,25,N, ,ASCOT ST,201530748,13/02/15,Fri,1705,KB,CN1C,308B 375B 927 ,,R,D,B ,F ,D,N,C,30,0,0,0,,,1748236,5428855,-41.27814191,174.7700087
Wellington City,WATERLOO QUAY,80,N, ,HINEMOA ST W,201530745,13/02/15,Fri,1523,AC,TN1C,372A 671A ,,R,D,O ,F , ,N,C,80,0,0,0,,,1749459,5429057,-41.27609781,174.7845556
Wellington City,ORIENTAL PARADE,270,E, ,HERD ST,201530944,14/02/15,Sat,1145,MO,CW1S,204B 330B 927 ,,R,D,O ,F ,D,N,C,50,0,0,0,,,1749850,5427366,-41.2912501,174.789638
Wellington City,1N/1076/2.258,, ,I,EVANS BAY PARADE,201531819,15/02/15,Sun,1920,FE,CE14,331A 350A ,,R,D,O ,F ,X,T,C,50,0,0,0,,,1750302,5425012,-41.31235991,174.7956151
Wellington City,BUNNY ST,25,S, ,ACCESS ROAD N,201510401,16/02/15,Mon,1610,NA,CS1E,713B ,,R,D,B ,F ,T,N,R,50,0,0,1,,,1749047,5428647,-41.27986536,174.7797388
Wellington City,PIRIE ST,50,E, ,AUSTIN ST,201530777,16/02/15,Mon,1615,EC,VE1C,374B ,Q,R,D,O ,F , ,N,C,50,0,0,0,,,1749663,5426525,-41.29885663,174.7876125
Wellington City,AOTEA QUAY,500,S, ,SH 1N,201510847,22/02/15,Sun,605,MC,MS14,372B ,,R,D,DO,F , , ,L,70,0,1,0,,,1749631,5429714,-41.27015071,174.786447
Wellington City,BEAUCHAMP ST,20,S, ,LINDEN AVENUE,201531180,22/02/15,Sun,1500,CC,CN1,112A 357A ,FT,R,D,B ,F ,X,G,N,50,0,0,0,,,1753678,5442156,-41.15737211,174.8316125
Wellington City,PHILLIP ST,, ,I,FRANKMOORE AVENUE,201531121,25/02/15,Wed,1530,LB,CN1V,302A 375A ,,R,D,B ,F ,T,G,C,50,0,0,0,,,1751042,5435070,-41.22166599,174.8019593
